region,cell_type,process,n_ft,n_sham,n_genes,mean_ft,mean_sham,difference,hedges_g,p_permutation,genes_present,q_bh
dorsal_DG,Microglia2,niche,4,5,8,2.2467753639773855,1.8557448691645497,0.3910304948128358,2.1799698892932935,0.015873015873015872,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.5914285714285714
dorsal_DG,Mossy,niche,4,3,8,0.5538171993160144,0.5474060950915102,0.006411104224504194,0.0509477426635369,0.9714285714285714,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.9954738330975955
dorsal_DG,Oligodend1,niche,3,5,8,0.5332329530947761,0.45476336041584986,0.07846959267892628,0.5725709653618376,0.4107142857142857,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.8697478991596638
dorsal_DG,Oligodend2,niche,4,5,8,0.5818651447318168,0.5904698789990108,-0.008604734267193992,-0.0529589615490106,0.9285714285714286,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.9907952871870398
dorsal_DG,OPC,niche,4,5,8,0.5607311872729217,0.38370046759059784,0.17703071968232387,1.037662513014762,0.11904761904761904,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.7392857142857142
dorsal_DG,AstroSub1,energy,4,4,4,1.2197821348382787,0.9207762541107576,0.2990058807275211,1.248818719727998,0.11428571428571428,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.7392857142857142
dorsal_DG,BergGlia,energy,3,4,4,1.765292098937281,1.1466919420911277,0.6186001568461532,1.3267087796367891,0.11428571428571428,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.7392857142857142
dorsal_DG,Endothelial,energy,3,4,4,1.3571134836750847,1.2804613264099414,0.0766521572651433,0.5329261352300252,0.37142857142857144,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.8697478991596638
dorsal_DG,ExcitNeuron,energy,3,4,4,1.0373356094354016,0.6148138832058805,0.4225217262295211,0.9197825902286737,0.2571428571428571,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.8697478991596638
dorsal_DG,Granule,energy,4,4,4,0.7888433042205565,0.7006873978723737,0.08815590634818282,0.24835829508925458,0.6285714285714286,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.9293877551020407
dorsal_DG,InhibNeuron,energy,4,3,4,1.2129106308957294,0.5069558644836293,0.7059547664121001,3.16662272370898,0.02857142857142857,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.5914285714285714
dorsal_DG,Microglia1,energy,3,5,4,0.8468204384600316,0.8675218561964492,-0.020701417736417538,-0.10820299662015487,0.8928571428571429,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.9857142857142857
dorsal_DG,Microglia2,energy,4,5,4,1.0365004028377771,0.6365724528443536,0.3999279499934235,1.6187417856397852,0.047619047619047616,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.5914285714285714
dorsal_DG,Mossy,energy,4,3,4,1.3883796859526383,1.1230531266687294,0.2653265592839089,1.7938148809922057,0.02857142857142857,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.5914285714285714
dorsal_DG,Oligodend1,energy,3,5,4,1.2846323723554869,0.9009273116888938,0.38370506066659305,1.7239601432527296,0.03571428571428571,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.5914285714285714
dorsal_DG,Oligodend2,energy,4,5,4,1.2613669710006372,1.1018027914661161,0.15956417953452107,0.7461483601247966,0.29365079365079366,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.8697478991596638
