parameter,outcome,base_n,S1,ST
tx_activation,delta_fni,2048,-0.00822263818772817,0.010895291621662936
tx_prolif,delta_fni,128,-0.12074576965759065,0.2623305528668058
tx_prolif,delta_fni,256,-0.03399378085249993,0.24781719156153842
tx_prolif,delta_fni,512,0.02542783505193935,0.24838861523724112
tx_prolif,delta_fni,2048,-0.025379040815487697,0.25816255771841845
tx_maturation,delta_fni,128,-0.09221198941069075,0.03489882040334087
tx_maturation,delta_fni,256,0.0016444834001682063,0.042322615540718415
tx_maturation,delta_fni,512,-0.016198051714219508,0.04415448300730085
tx_maturation,delta_fni,2048,-0.010973927515163906,0.035447999813164426
tx_integration,delta_fni,128,-0.03287087558135715,0.052261252758788644
tx_integration,delta_fni,256,-0.04558221683143526,0.098408739231634
tx_integration,delta_fni,512,-0.008190223941047403,0.0911759562489538
tx_integration,delta_fni,2048,0.05214173036876246,0.07694272557684313
tx_eff,delta_fni,128,0.13960572734204257,0.18852352917054546
tx_eff,delta_fni,256,0.16579512292966814,0.21867529953026554
tx_eff,delta_fni,512,0.18360693062038758,0.21850083412118634
tx_eff,delta_fni,2048,0.18546558997709817,0.1956898826290213
tx_survival,delta_fni,128,-0.15216256982513054,0.023579444073131738
tx_survival,delta_fni,256,-0.06386239523508208,0.025304568898712437
tx_survival,delta_fni,512,-0.009918726114414467,0.02311376963311852
tx_survival,delta_fni,2048,0.0026578684725243606,0.020994192773217322
