dataset,contrast,split,first_half_g,second_half_g
GSE309750,HC,115,1.6094733950930398,1.6798295264517935
GSE309750,HC,116,2.3182658821762336,0.9399111883273447
GSE309750,HC,117,1.9778543868534415,1.270589134091841
GSE309750,HC,118,1.6832653342291726,1.723993597454188
GSE309750,HC,119,1.3998510773359405,1.8291085574749784
GSE309750,HC,120,1.738956121658435,1.5572263232059549
GSE309750,HC,121,1.5822574964764622,1.7949063709645938
GSE309750,HC,122,2.30969371670156,1.0317254840283163
GSE309750,HC,123,2.2537812679528093,1.1292689845878368
GSE309750,HC,124,2.4888422682676836,0.9701504493731047
GSE309750,HC,125,1.50415877089068,1.9041709599474475
GSE309750,HC,126,1.9981619351678768,1.0491398818802695
GSE309750,HC,127,1.6924556622887659,1.6678039858315992
GSE309750,HC,128,2.2026977195066326,0.7808953134127998
GSE309750,HC,129,1.4804269487406934,1.8633100025320541
GSE309750,HC,130,0.9174977356015039,2.210100719041312
GSE309750,HC,131,1.4122780833393171,2.119481586506823
GSE309750,HC,132,2.286267056777806,1.0205503308123032
GSE309750,HC,133,1.4221529752957967,1.9668460040882367
GSE309750,HC,134,1.627005839965326,1.7139560041505275
GSE309750,HC,135,1.116504424003746,2.133386351623862
GSE309750,HC,136,0.9428685712521871,2.5962659319991763
GSE309750,HC,137,1.712525920958735,1.5305063865971884
GSE309750,HC,138,1.4592224762315016,1.7938790948710168
GSE309750,HC,139,1.3489558995557804,1.9234627614554363
GSE309750,HC,140,1.131710214691445,2.2795741883259906
GSE309750,HC,141,1.436841071111052,1.945747747239578
GSE309750,HC,142,1.5119609063619703,1.8978782316329277
GSE309750,HC,143,0.9689838641897927,1.9919009996325168
GSE309750,HC,144,1.6398313876973505,1.4550057500382139
GSE309750,HC,145,1.5370812663960325,1.767520343628914
GSE309750,HC,146,1.5996785933479993,1.7103323874124203
GSE309750,HC,147,1.854805993002869,1.4798332488921195
GSE309750,HC,148,1.156200574059222,2.2866000663029613
GSE309750,HC,149,1.3917878714697065,1.6979150619229093
GSE309750,HC,150,2.3444607889680507,1.0764098074224921
GSE309750,HC,151,1.6101337258178707,1.628669422097838
GSE309750,HC,152,1.4538091005178517,1.8615804915496172
GSE309750,HC,153,2.2993189492861457,1.091171268616517
GSE309750,HC,154,1.88597792313111,1.4969554216537744
GSE309750,HC,155,1.5783004157024803,1.749565076107605
GSE309750,HC,156,1.4287180978279304,1.8421950993675384
GSE309750,HC,157,1.224413798306996,2.2673488592462303
GSE309750,HC,158,1.4650072139733308,1.9498245754269365
GSE309750,HC,159,2.2870761830182755,1.2638760351332012
GSE309750,HC,160,1.498384277204481,1.8100556372386205
