dataset,contrast,gene,effect,statistic,p_value,q_value,within_contrast_rank
GSE222756,dorDG_FT_vs_Control,Zmat3,0.18365593901896277,3.0756477689926083,0.002100458180952302,0.01038815814204836,2673.0
GSE222756,dorDG_FT_vs_Control,Zmiz1,0.4568566668090805,7.599409131352977,2.974858825202814e-14,2.1376947492843263e-12,184.0
GSE222756,dorDG_FT_vs_Control,Zmpste24,-0.4701844309644936,-4.114947196218155,3.87268058698307e-05,0.00036627026266874215,1398.0
GSE222756,dorDG_FT_vs_Control,Zmym6,-0.6059319557127175,-4.9014683034154345,9.512299904141137e-07,1.4489819047529277e-05,868.0
GSE222756,dorDG_FT_vs_Control,Zmynd11,0.19021162086272475,2.5196974501122504,0.011745574351085255,0.04150186640033384,3742.0
GSE222756,dorDG_FT_vs_Control,Znhit1,0.5063023247476098,2.8337687953657893,0.004600260167970746,0.019595566991272295,3104.0
GSE222756,dorDG_FT_vs_Control,Znhit2,0.7198485620211068,4.789814381367624,1.6693566320780624e-06,2.3913578970028322e-05,923.0
GSE222756,dorDG_FT_vs_Control,Znhit6,0.23581640607699772,2.455486983150834,0.0140693848035875,0.048180628301744084,3861.0
GSE222756,dorDG_FT_vs_Control,Znrd1as1,0.4621090197780251,2.4432522269380494,0.014555560535927888,0.049461223697259964,3891.0
GSE222756,dorDG_FT_vs_Control,Zrsr1,0.3783593411122643,3.429904596761022,0.0006037935045766702,0.003711463374018007,2151.0
GSE222756,dorDG_FT_vs_Control,Zswim5,-0.5694775963247297,-3.3164167259921093,0.0009117975617078275,0.0052031883301255485,2317.0
GSE222756,dorDG_FT_vs_Control,Zwint,-0.28399346320905494,-2.7445017938284613,0.006060282325430997,0.024407265582348053,3283.0
GSE222756,dorDG_FT_vs_Control,Zyx,0.4465919415434703,3.122730950502503,0.0017918146337806303,0.009081026104273466,2608.0
GSE222756,venDG_FT_vs_Control,A3galt2,-1.0361543617004023,-2.6382927003174665,0.008332462730208339,0.023146303785794686,4839.0
GSE222756,venDG_FT_vs_Control,Aaas,-0.5338544543630627,-5.016770969772416,5.254714603045388e-07,3.8492574220237665e-06,1835.0
GSE222756,venDG_FT_vs_Control,Aacs,-0.28511313818506934,-2.5595253509204565,0.01048152108173613,0.028201082141852896,4996.0
GSE222756,venDG_FT_vs_Control,Aagab,-0.4740091920414559,-3.939252233102448,8.17359635223249e-05,0.00038659212585048954,2842.0
GSE222756,venDG_FT_vs_Control,Aamdc,0.44758150107354105,3.9152720132043815,9.030234070507836e-05,0.00042279486720921746,2871.0
GSE222756,venDG_FT_vs_Control,Aamp,-0.5788158390505247,-5.768190106310564,8.012738946315583e-09,7.966511606240685e-08,1352.0
GSE222756,venDG_FT_vs_Control,Aar2,-0.4281120728510531,-3.5542936862526884,0.00037899573785088236,0.0015220976122472542,3347.0
GSE222756,venDG_FT_vs_Control,Aard,0.9220197718749296,2.7315111996989563,0.00630445981709745,0.0182089705331809,4654.0
GSE222756,venDG_FT_vs_Control,Aars,-0.5158338145496026,-10.161739615086393,2.9378704907697805e-24,1.803235394380246e-22,219.0
GSE222756,venDG_FT_vs_Control,Aars2,-0.8306451839065386,-4.449575638574647,8.604012464994216e-06,5.065927969971627e-05,2283.0
GSE222756,venDG_FT_vs_Control,Aarsd1,-0.3366624675015379,-2.4899858563968573,0.012774817891982966,0.033324102872896375,5154.0
GSE222756,venDG_FT_vs_Control,Aatk,-0.3405130838916978,-3.6199514063694833,0.0002946583474243959,0.0012149685601468496,3260.0
GSE222756,venDG_FT_vs_Control,Abca1,0.3036164848909042,3.442613697793108,0.0005761216296400346,0.0022170704109995263,3493.0
