dataset,contrast,context,treated,control,program,measured_genes,n_treated,n_control,score_difference,hedges_g,standard_error,p_value,permutations,role,q_global,q_dataset
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,precursor_proliferation,85,3,5,-0.08316274679686894,-0.537304965495044,0.7465864889585594,0.48214285714285715,56,cell_type_map,0.6972305389221557,0.92
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,projection_development,651,3,5,-0.04642867914660222,-0.2951119920407043,0.7352488857435868,0.6785714285714286,56,cell_type_map,0.8479948253557568,0.9708879184861718
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,synapse_organization,372,3,5,-0.08944321665219429,-0.4676758820416847,0.7426708967550537,0.6607142857142857,56,cell_type_map,0.8321382007822686,0.9708879184861718
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,synaptic_plasticity,235,3,5,-0.08003104249541543,-0.5201784045811921,0.7455750338157697,0.5357142857142857,56,cell_type_map,0.7446043165467626,0.9397849462365591
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,extent_exclusive,433,3,5,0.05293371565130061,0.33278596054230974,0.7365882214379839,0.6071428571428571,56,cell_type_map,0.7925675675675675,0.9630541871921181
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,integration_exclusive,365,3,5,-0.07586542105744046,-0.45462952654618854,0.7419955079832363,0.6428571428571429,56,cell_type_map,0.8203434610303831,0.9708879184861718
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,integration_bias,1556,3,5,-0.3628811783350999,-1.1391790164899487,0.8009228443703242,0.14285714285714285,56,cell_type_map,0.30131004366812225,0.4842105263157895
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,exclusive_integration_bias,798,3,5,-0.9462586434094467,-1.114098930687894,0.7979774656049666,0.14285714285714285,56,cell_type_map,0.30131004366812225,0.4842105263157895
GSE197622,dorDG_Microglia2_FT_vs_Sham,dorDG:Microglia2,FT,Sham,extent_composite,1102,4,5,-0.015501504023476633,-0.1049743628364393,0.671406818173225,0.8571428571428571,126,cell_type_map,0.9441277080957811,1.0
GSE197622,dorDG_Microglia2_FT_vs_Sham,dorDG:Microglia2,FT,Sham,integration_composite,1045,4,5,-0.0007328135512632769,-0.0047090690375943805,0.6708215738571834,1.0,126,cell_type_map,1.0,1.0
GSE197622,dorDG_Microglia2_FT_vs_Sham,dorDG:Microglia2,FT,Sham,neurogenesis,1087,4,5,-0.014650025040957769,-0.09947046484266504,0.6713469601893121,0.8650793650793651,126,cell_type_map,0.946394865987165,1.0
GSE197622,dorDG_Microglia2_FT_vs_Sham,dorDG:Microglia2,FT,Sham,neuron_differentiation,868,4,5,-0.024036990973812917,-0.15964947391173687,0.672175994944792,0.7936507936507936,126,cell_type_map,0.9099099099099099,1.0
GSE197622,dorDG_Microglia2_FT_vs_Sham,dorDG:Microglia2,FT,Sham,neuron_maturation,41,4,5,-0.11952204434518911,-0.3673174009768574,0.6779655529102384,0.5317460317460317,126,cell_type_map,0.7401536983669548,0.9397849462365591
